2022 05 06	21:35:15 	 7d7cea9c-3f3f-4275-acc7-710b2d0846e1 	 GET	 undefined 	 /states/ks 
2022 05 06	21:35:30 	 c6196bd2-39b4-417f-9409-25483efeab71 	 GET	 undefined 	 /states/ks 
2022 05 06	21:35:43 	 dd5857a9-cc71-4ab9-920e-9d0069a50b7e 	 GET	 undefined 	 /states/ar 
2022 05 06	21:37:58 	 3d9492b4-0920-4720-bf0b-faf8c3d57ecd 	 GET	 undefined 	 /states/mo/ 
2022 05 06	21:39:09 	 172c3a60-2473-4cd8-b128-c258a39a1b2e 	 POST	 undefined 	 /states/mo/funfact 
2022 05 06	21:40:08 	 ce582ec6-dfeb-495b-8db7-e87aebd1146b 	 GET	 undefined 	 /states 
2022 05 06	21:41:19 	 d912ec8b-f533-4acd-8ca4-8c4a00b5fe37 	 GET	 undefined 	 /states 
2022 05 06	21:42:39 	 410a54d1-11a0-43d2-bf0f-b32a15d0fb8c 	 GET	 undefined 	 /states 
2022 05 06	21:44:31 	 221ec23f-8085-46ea-a627-59f43c4a56b0 	 GET	 undefined 	 /states 
2022 05 06	21:46:09 	 fa188558-0c55-45d0-b6f2-97275c939c88 	 GET	 undefined 	 /states 
2022 05 06	21:46:52 	 7bdad313-2b85-4447-abe9-00261484124b 	 GET	 undefined 	 /states 
2022 05 06	21:47:13 	 1d47e449-f2fc-4855-b433-ef8774b92063 	 GET	 undefined 	 /states 
2022 05 06	21:49:43 	 d60a5f9f-67ca-428f-99be-aad13d27b9a7 	 GET	 undefined 	 /states 
2022 05 06	21:50:06 	 dc8dcd0e-464a-404a-be6a-e64a9f4a271d 	 GET	 undefined 	 /states 
2022 05 06	21:50:17 	 4c3973e2-06d7-49a6-8859-ec2f23d170c4 	 GET	 undefined 	 /states 
2022 05 06	21:50:48 	 180656dd-c61e-4d5a-b6b8-871dd8d48917 	 GET	 undefined 	 /states 
2022 05 06	21:50:55 	 5677ab47-1e5a-4092-9bfb-bec935c229ea 	 GET	 undefined 	 /states 
2022 05 06	21:52:06 	 3c96883f-ef4e-4e14-bae6-6520325183ef 	 GET	 undefined 	 /states 
2022 05 06	21:52:36 	 2ad3e913-dd09-4a89-8863-149d1aefabaa 	 GET	 undefined 	 /states 
2022 05 06	21:57:04 	 cd3fe61c-5675-4a99-809d-71263a1db18a 	 GET	 undefined 	 /states 
2022 05 06	21:57:30 	 2e30e0a6-6239-4172-95f6-790cb7d29ad5 	 GET	 undefined 	 /states 
2022 05 06	21:57:55 	 1d0b638e-7902-4625-9c89-b9f2a663f389 	 GET	 undefined 	 /states 
2022 05 06	22:01:20 	 283c0b33-38ed-4a63-b118-52aba454932c 	 GET	 undefined 	 /states 
2022 05 06	22:02:35 	 119f2af7-7a1f-49e6-86d9-f68621b3eeaf 	 GET	 undefined 	 /states 
2022 05 06	22:05:14 	 40df0098-ba16-41d0-80c8-f138e9245f9d 	 GET	 undefined 	 /states 
2022 05 06	22:06:20 	 8b2e2f2c-c5f3-4294-8270-5f179ad6c47d 	 GET	 undefined 	 /states 
2022 05 06	22:13:52 	 6515a8dc-d475-4b57-a4fc-91e1459699d1 	 GET	 undefined 	 /states/?contig=true 
2022 05 06	22:15:58 	 b120783b-6a1f-498c-bb14-372006712084 	 GET	 undefined 	 /states/?contig=true 
2022 05 06	22:17:09 	 6915de57-3703-4173-bd4d-194f9d6a6c9b 	 GET	 undefined 	 /states/?contig=true 
2022 05 06	22:17:15 	 a1d7ba07-efc2-4da6-981f-3b951525ea66 	 GET	 undefined 	 /states/?contig=tru 
2022 05 06	22:17:20 	 40ed7d43-d9f3-4620-a716-1be87c495716 	 GET	 undefined 	 /states/?contig= 
2022 05 06	22:18:02 	 492248a5-d639-4d47-842a-4e6a56940038 	 GET	 undefined 	 /states/?contig= 
2022 05 06	22:18:09 	 965aadf8-d78f-434e-840e-acf83dbc4364 	 GET	 undefined 	 /states/?contig=true 
2022 05 06	22:19:16 	 9dcfb249-1a4d-4d77-bb4f-816b75701e8e 	 GET	 undefined 	 /states/?contig=false 
2022 05 06	22:19:59 	 390b21f3-2d44-47ca-b7d8-778e1fda6ca6 	 GET	 undefined 	 /states/?contig=false 
2022 05 06	22:20:19 	 ce1067d8-b4b0-4ae1-87ac-70c102b79889 	 GET	 undefined 	 /states/mo/ 
2022 05 06	22:20:40 	 c80f058e-c04d-4ecf-936d-a667ad8c1d1f 	 GET	 undefined 	 /states/?contig=false 
2022 05 06	22:25:39 	 16dbad0a-bdf7-4a29-b630-58a106409a5f 	 GET	 undefined 	 /states/?contig=false 
2022 05 06	22:25:39 	 e77cd324-259d-4665-9550-0871b790866f 	 GET	 undefined 	 /states/css/style.css 
2022 05 06	22:28:30 	 781bf065-72cd-4125-b03b-79c18873a85a 	 GET	 undefined 	 /states/?states/?contig=true 
2022 05 06	22:28:55 	 72921eb4-f700-494b-a4a7-23e3542045cc 	 GET	 undefined 	 /states/?contig=true 
2022 05 06	22:30:47 	 76404297-a162-4c91-8635-9c034c901184 	 GET	 undefined 	 /states/?contig=true 
2022 05 06	22:31:48 	 e92754e3-f4e2-4fc4-880b-81df5ff8af29 	 GET	 undefined 	 /states/?contig=false 
2022 05 06	22:32:07 	 bd000ceb-6327-4cba-9cd7-ea689e6cb78b 	 GET	 undefined 	 /states/ks 
2022 05 06	22:32:15 	 45f34d4b-960c-4b48-be0d-01063fd54b61 	 GET	 undefined 	 /states/ks/population 
2022 05 06	22:34:30 	 2dfc7f64-4955-42e7-addb-abc059a5107f 	 GET	 undefined 	 /states/?contig=false 
2022 05 06	22:35:34 	 a6dff45d-171f-4782-972a-0feec34081f7 	 GET	 undefined 	 /states/ 
2022 05 06	22:41:30 	 158c4291-ce55-433b-b0b3-1a3888b4612e 	 GET	 undefined 	 /states/?contig=true 
2022 05 06	22:42:03 	 c4666070-aa09-4ce8-abd6-fe1b3d22b22e 	 GET	 undefined 	 /states/?contig=true 
2022 05 06	22:42:19 	 b7d098d7-c47e-454c-b077-6621140014cb 	 GET	 undefined 	 /states/?contig=true 
2022 05 07	11:51:05 	 927e8927-9a67-450f-9518-f188b2c0cc9e 	 GET	 undefined 	 / 
2022 05 07	11:51:05 	 84990b84-548d-40b5-8845-cf44415f56cb 	 GET	 undefined 	 /css/style.css 
2022 05 07	11:51:05 	 42dc89d5-b53a-467a-b94d-9fe422439708 	 GET	 undefined 	 /favicon.ico 
2022 05 07	11:51:12 	 91067b98-1fbc-40ec-885e-98e718ae9b55 	 GET	 undefined 	 /states 
2022 05 07	11:55:37 	 59102bab-6010-41b9-85b5-faa6221d5ea2 	 GET	 undefined 	 /states/funfacts 
2022 05 07	11:55:52 	 877790f4-f611-473b-9575-d622c2cf9b5c 	 GET	 undefined 	 /states/ks/funfacts 
2022 05 07	11:55:52 	 60c7a547-7a49-4746-943a-ef9c17da378c 	 GET	 undefined 	 /states/ks/css/style.css 
2022 05 07	11:56:11 	 f0bbb8ab-2ace-48f1-8680-12bc4e1475c1 	 GET	 undefined 	 /states/ 
